id_int,id,location_type,net_type,parent_station,route_type,stop_code,stop_id,stop_name,unique_agency_id,wheelchair_boarding,x,y
190,000000100022_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010057,3.0,,000000100022,Repsoldstraße,hamburger_verkehrsverbund_(hvv),,10.013678757588,53.548494353814
191,000000100026_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010058,3.0,,000000100026,Albertstraße,hamburger_verkehrsverbund_(hvv),,10.018966710618,53.548799817999
192,000000100027_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010058,3.0,,000000100027,Albertstraße,hamburger_verkehrsverbund_(hvv),,10.018966710618,53.548799817999
193,000000100030_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010060,3.0,,000000100030,S Hammerbrook (Nord),hamburger_verkehrsverbund_(hvv),,10.022820657916,53.547823427965
194,000000110176_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011044,3.0,,000000110176,Auf dem Sande (Speicherstadt),hamburger_verkehrsverbund_(hvv),,9.990176541899,53.544144766299
195,000000110194_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011044,3.0,,000000110194,Auf dem Sande (Speicherstadt),hamburger_verkehrsverbund_(hvv),,9.989787303526,53.543626837067
196,000000809329_hamburger_verkehrsverbund_(hvv),0.0,transit,000000080932,4.0,,000000809329,Elbphilharmonie,hamburger_verkehrsverbund_(hvv),,9.986303567514,53.540429878312
197,000000530012_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053019,3.0,,000000530012_G,Argentinienbrücke (Fähre),hamburger_verkehrsverbund_(hvv),,9.974416322817,53.527929853729
198,000000530035_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053014,3.0,,000000530035_G,Nehlsstraße,hamburger_verkehrsverbund_(hvv),,9.969675549481,53.530322599181005
199,000000530036_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053015,3.0,,000000530036_G,Norderloch,hamburger_verkehrsverbund_(hvv),,9.967050360973001,53.537550168105
200,000000530037_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053016,3.0,,000000530037_G,Steinwerder (Alter Elbtunnel),hamburger_verkehrsverbund_(hvv),,9.966151644119,53.541798543981
201,000000530038_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053016,3.0,,000000530038_G,Steinwerder (Alter Elbtunnel),hamburger_verkehrsverbund_(hvv),,9.965875661615,53.541603096287005
202,000000530039_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053015,3.0,,000000530039_G,Norderloch,hamburger_verkehrsverbund_(hvv),,9.967437335838,53.537322400872
203,000000530040_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053014,3.0,,000000530040_G,Nehlsstraße,hamburger_verkehrsverbund_(hvv),,9.96953656079,53.530179960442
204,000000530046_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053018,3.0,,000000530046_G,Steinwerder (Fähre),hamburger_verkehrsverbund_(hvv),,9.966374462211,53.540323137925995
205,000000530047_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053018,3.0,,000000530047_G,Steinwerder (Fähre),hamburger_verkehrsverbund_(hvv),,9.965788670793,53.539770779192
206,000000530048_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053019,3.0,,000000530048_G,Argentinienbrücke (Fähre),hamburger_verkehrsverbund_(hvv),,9.974451636426,53.528154201194
207,000000538011_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053801,3.0,,000000538011,Worthdamm (Süd),hamburger_verkehrsverbund_(hvv),,9.980640524765,53.527762122425
208,000000538021_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053905,3.0,,000000538021,Afrikastraße,hamburger_verkehrsverbund_(hvv),,9.990599383268,53.527374469099996
209,000000538022_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053905,3.0,,000000538022,Afrikastraße,hamburger_verkehrsverbund_(hvv),,9.988857361368,53.527685417815
210,000000538031_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053803,3.0,,000000538031,Indiastraße,hamburger_verkehrsverbund_(hvv),,9.994941249902,53.526682457229995
211,000000538032_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053803,3.0,,000000538032,Indiastraße,hamburger_verkehrsverbund_(hvv),,9.995182477581,53.526680448315
212,000000538041_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053804,3.0,,000000538041,Dessauer Straße,hamburger_verkehrsverbund_(hvv),,10.006689320376001,53.523546973738
213,000000538051_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053805,3.0,,000000538051,S Veddel (Westseite),hamburger_verkehrsverbund_(hvv),,10.011833587471,53.523018305769995
214,000000538052_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053805,3.0,,000000538052,S Veddel (Westseite),hamburger_verkehrsverbund_(hvv),,10.012080793134,53.523267804797
215,000000538061_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053902,3.0,,000000538061,Überseezentrum,hamburger_verkehrsverbund_(hvv),,10.019415805151,53.530456710917996
216,000000538071_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053907,3.0,,000000538071,Terminal O'Swaldkai,hamburger_verkehrsverbund_(hvv),,10.013007997487,53.529262228859
