,,access,area,bridge,distance,est_width,from,highway,junction,lanes,maxspeed,name,oneway,ref,service,to,tunnel,width,weight,net_type,from_int,to_int
1656239837,589913035,,,,2.699585,,1656239837,unclassified,,2,,Sähkömiehentie,,,,589913035,,,0.032395020000000004,walk,3588,2814
1656239837,946039966,,,,2.609069,,1656239837,unclassified,,2,,Sähkömiehentie,,,,946039966,,,0.031308828,walk,3588,2982
946039966,1656239837,,,,2.609069,,946039966,unclassified,,2,,Sähkömiehentie,,,,1656239837,,,0.031308828,walk,2982,3588
25049618,338534906,,,,8.242214,,25049618,tertiary,,2,30,Puumiehenkuja,,,,338534906,,,0.09890656800000001,walk,94,2148
338534906,25049618,,,,8.242214,,338534906,tertiary,,2,30,Puumiehenkuja,,,,25049618,,,0.09890656800000001,walk,2148,94
338534906,589913025,,,,8.643789,,338534906,tertiary,,2,30,Puumiehenkuja,,,,589913025,,,0.103725468,walk,2148,2811
589913025,338534906,,,,8.643789,,589913025,tertiary,,2,30,Puumiehenkuja,,,,338534906,,,0.103725468,walk,2811,2148
589913025,303097100,,,,43.343738,,589913025,tertiary,,2,30,Puumiehenkuja,,,,303097100,,,0.520124856,walk,2811,1889
303097100,589913025,,,,43.343738,,303097100,tertiary,,2,30,Puumiehenkuja,,,,589913025,,,0.520124856,walk,1889,2811
303097100,306916909,,,,7.787455,,303097100,tertiary,,2,30,Puumiehenkuja,,,,306916909,,,0.09344946,walk,1889,1968
306916909,303097100,,,,7.787455,,306916909,tertiary,,2,30,Puumiehenkuja,,,,303097100,,,0.09344946,walk,1968,1889
306916909,304974215,,,,27.489186,,306916909,tertiary,,2,30,Puumiehenkuja,,,,304974215,,,0.32987023200000004,walk,1968,1940
304974215,306916909,,,,27.489186,,304974215,tertiary,,2,30,Puumiehenkuja,,,,306916909,,,0.32987023200000004,walk,1940,1968
304974215,264039378,,,,13.784103,,304974215,tertiary,,2,30,Puumiehenkuja,,,,264039378,,,0.16540923600000002,walk,1940,1084
264039378,304974215,,,,13.784103,,264039378,tertiary,,2,30,Puumiehenkuja,,,,304974215,,,0.16540923600000002,walk,1084,1940
264039378,7036328026,,,,29.914533,,264039378,tertiary,,2,30,Puumiehenkuja,,,,7036328026,,,0.35897439600000003,walk,1084,7326
7036328026,264039378,,,,29.914533,,7036328026,tertiary,,2,30,Puumiehenkuja,,,,264039378,,,0.35897439600000003,walk,7326,1084
7036328026,267619814,,,,96.45179,,7036328026,tertiary,,2,30,Puumiehenkuja,,,,267619814,,,1.15742148,walk,7326,1178
267619814,7036328026,,,,96.45179,,267619814,tertiary,,2,30,Puumiehenkuja,,,,7036328026,,,1.15742148,walk,1178,7326
267619814,25049701,,,,8.039937,,267619814,tertiary,,2,30,Puumiehenkuja,,,,25049701,,,0.096479244,walk,1178,101
25049701,267619814,,,,8.039937,,25049701,tertiary,,2,30,Puumiehenkuja,,,,267619814,,,0.096479244,walk,101,1178
277839404,25049532,,,,40.946078,,277839404,footway,,,,,,,,25049532,,,0.491352936,walk,1230,86
25049532,277839404,,,,40.946078,,25049532,footway,,,,,,,,277839404,,,0.491352936,walk,86,1230
264069891,25052974,,,,99.393851,,264069891,residential,,,30,Servinkuja,,,,25052974,,,1.192726212,walk,1095,110
25052974,264069891,,,,99.393851,,25052974,residential,,,30,Servinkuja,,,,264069891,,,1.192726212,walk,110,1095
25052974,471608881,,,,33.210732,,25052974,residential,,,30,Servinkuja,,,,471608881,,,0.398528784,walk,110,2650
471608881,25052974,,,,33.210732,,471608881,residential,,,30,Servinkuja,,,,25052974,,,0.398528784,walk,2650,110
471608881,25030680,,,,8.037086,,471608881,residential,,,30,Servinkuja,,,,25030680,,,0.09644503200000001,walk,2650,46
25030680,471608881,,,,8.037086,,25030680,residential,,,30,Servinkuja,,,,471608881,,,0.09644503200000001,walk,46,2650
25053067,6806323681,,,,62.171801,,25053067,cycleway,,,,,,,,6806323681,,,0.7460616120000001,walk,112,7084
6806323681,25053067,,,,62.171801,,6806323681,cycleway,,,,,,,,25053067,,,0.7460616120000001,walk,7084,112
6806323681,25053053,,,,6.89674,,6806323681,cycleway,,,,,,,,25053053,,,0.08276088000000001,walk,7084,111
25053053,6806323681,,,,6.89674,,25053053,cycleway,,,,,,,,6806323681,,,0.08276088000000001,walk,111,7084
25156911,1676653692,,,,29.543446,,25156911,secondary,,2,50,Kuusisaarentie,yes,,,1676653692,,,0.354521352,walk,223,3617
1676653692,25156911,,,,29.543446,,1676653692,secondary,,2,50,Kuusisaarentie,yes,,,25156911,,,0.354521352,walk,3617,223
134888,134891,,,,99.933631,,134888,secondary,,2,50,Kuusisaarentie,yes,,,134891,,,1.199203572,walk,10,11
134891,134888,,,,99.933631,,134891,secondary,,2,50,Kuusisaarentie,yes,,,134888,,,1.199203572,walk,11,10
299764324,1126449466,,,,17.567284,,299764324,residential,,2,30,Kuusisaarenpolku,,,,1126449466,,,0.21080740800000003,walk,1486,3157
1126449466,299764324,,,,17.567284,,1126449466,residential,,2,30,Kuusisaarenpolku,,,,299764324,,,0.21080740800000003,walk,3157,1486
1126449466,24556214,,,,51.020085,,1126449466,residential,,2,30,Kuusisaarenpolku,,,,24556214,,,0.61224102,walk,3157,21
24556214,1126449466,,,,51.020085,,24556214,residential,,2,30,Kuusisaarenpolku,,,,1126449466,,,0.61224102,walk,21,3157
24556214,6071651737,,,,4.740831,,24556214,residential,,2,30,Kuusisaarenpolku,,,,6071651737,,,0.056889972000000004,walk,21,6571
6071651737,24556214,,,,4.740831,,6071651737,residential,,2,30,Kuusisaarenpolku,,,,24556214,,,0.056889972000000004,walk,6571,21
6071651737,299763206,,,,20.174064,,6071651737,residential,,2,30,Kuusisaarenpolku,,,,299763206,,,0.24208876800000004,walk,6571,1485
299763206,6071651737,,,,20.174064,,299763206,residential,,2,30,Kuusisaarenpolku,,,,6071651737,,,0.24208876800000004,walk,1485,6571
299763206,299762464,,,,14.792672,,299763206,residential,,2,30,Kuusisaarenpolku,,,,299762464,,,0.177512064,walk,1485,1484
299762464,299763206,,,,14.792672,,299762464,residential,,2,30,Kuusisaarenpolku,,,,299763206,,,0.177512064,walk,1484,1485
299762464,297919952,,,,33.701097,,299762464,residential,,2,30,Kuusisaarenpolku,,,,297919952,,,0.404413164,walk,1484,1410
297919952,299762464,,,,33.701097,,297919952,residential,,2,30,Kuusisaarenpolku,,,,299762464,,,0.404413164,walk,1410,1484
297919952,299705389,,,,58.952448,,297919952,residential,,2,30,Kuusisaarenpolku,,,,299705389,,,0.707429376,walk,1410,1477
299705389,297919952,,,,58.952448,,299705389,residential,,2,30,Kuusisaarenpolku,,,,297919952,,,0.707429376,walk,1477,1410
