id,x,y,id,net_type,old_node_id,id_int
25053067,24.8377142,60.1900434,25053067,walk,25053067,112
25053119,24.830131,60.1848604,25053119,walk,25053119,113
25066311,24.831325,60.1843948,25066311,walk,25066311,114
25066325,24.8284757,60.1842955,25066325,walk,25066325,115
25066326,24.82869,60.1843227,25066326,walk,25066326,116
25066328,24.8280247,60.1845045,25066328,walk,25066328,117
25066437,24.8239629,60.1885907,25066437,walk,25066437,118
25089979,24.8343135,60.1867068,25089979,walk,25089979,119
25089993,24.8352257,60.1867426,25089993,walk,25089993,120
25090035,24.8394546,60.1884275,25090035,walk,25090035,121
25090037,24.8392654,60.1901337,25090037,walk,25090037,122
25090039,24.839283,60.190387,25090039,walk,25090039,123
25090041,24.8389032,60.1909476,25090041,walk,25090041,124
25090231,24.826695,60.1846385,25090231,walk,25090231,125
25090262,24.8279187,60.1838712,25090262,walk,25090262,126
25090266,24.8279294,60.1837318,25090266,walk,25090266,127
25090271,24.8280649,60.1838372,25090271,walk,25090271,128
25090273,24.8269029,60.1829426,25090273,walk,25090273,129
25090279,24.8251932,60.182141,25090279,walk,25090279,130
25090281,24.8238129,60.1814438,25090281,walk,25090281,131
25090287,24.8195063,60.1817972,25090287,walk,25090287,132
25090289,24.8244442,60.180974,25090289,walk,25090289,133
25090292,24.8248097,60.1804698,25090292,walk,25090292,134
25090317,24.8252607,60.1792043,25090317,walk,25090317,135
25090323,24.827389,60.1788531,25090323,walk,25090323,136
25090325,24.8294449,60.1791191,25090325,walk,25090325,137
25090327,24.8305059,60.1792582,25090327,walk,25090327,138
25090329,24.8319972,60.1794507,25090329,walk,25090329,139
25090333,24.8340457,60.1801302,25090333,walk,25090333,140
25090343,24.8502767,60.1821349,25090343,walk,25090343,141
25090353,24.8460599,60.1816876,25090353,walk,25090353,142
25114515,24.8291913,60.1843691,25114515,walk,25114515,143
25114537,24.8300252,60.1847162,25114537,walk,25114537,144
25114720,24.8319016,60.1859808,25114720,walk,25114720,145
25114725,24.8321216,60.1858866,25114725,walk,25114725,146
25114730,24.8323063,60.1859899,25114730,walk,25114730,147
25150456,24.8344696,60.1801752,25150456,walk,25150456,148
25150457,24.8339412,60.1812706,25150457,walk,25150457,149
25150458,24.8344803,60.1801568,25150458,walk,25150458,150
25150459,24.8346602,60.1800108,25150459,walk,25150459,151
25150460,24.8350027,60.1798855,25150460,walk,25150460,152
25150470,24.8347746,60.1795383,25150470,walk,25150470,153
25150471,24.8348386,60.17969,25150471,walk,25150471,154
25150473,24.8349281,60.1795726,25150473,walk,25150473,155
25150495,24.8307227,60.1820359,25150495,walk,25150495,156
25150496,24.8313259,60.1829273,25150496,walk,25150496,157
25150497,24.831447,60.1830543,25150497,walk,25150497,158
25150498,24.8318147,60.183428,25150498,walk,25150498,159
25150499,24.8318928,60.1837188,25150499,walk,25150499,160
25151319,24.8337175,60.1816892,25151319,walk,25151319,161
25151324,24.8163316,60.1833904,25151324,walk,25151324,162
25151334,24.8181805,60.1833787,25151334,walk,25151334,163
25151336,24.8219761,60.1835845,25151336,walk,25151336,164
25151337,24.8227535,60.183762,25151337,walk,25151337,165
25151345,24.8206001,60.1873766,25151345,walk,25151345,166
25151354,24.8202719,60.1869799,25151354,walk,25151354,167
25151381,24.8206869,60.1864196,25151381,walk,25151381,168
25151383,24.8173582,60.1866684,25151383,walk,25151383,169
25151386,24.8102709,60.1872029,25151386,walk,25151386,170
25151387,24.8094621,60.1870611,25151387,walk,25151387,171
25151388,24.8080634,60.1867023,25151388,walk,25151388,172
25151389,24.8081081,60.1868443,25151389,walk,25151389,173
25151391,24.8083275,60.1871301,25151391,walk,25151391,174
25151393,24.8069571,60.189673,25151393,walk,25151393,175
25151399,24.8061834,60.1955821,25151399,walk,25151399,176
25151400,24.8062335,60.1964489,25151400,walk,25151400,177
25151405,24.8079839,60.1996819,25151405,walk,25151405,178
25151434,24.8076395,60.1969684,25151434,walk,25151434,179
25151437,24.8076361,60.196077,25151437,walk,25151437,180
25151440,24.8323777,60.1899918,25151440,walk,25151440,181
25151447,24.8296152,60.1893641,25151447,walk,25151447,182
25151470,24.8299377,60.1883947,25151470,walk,25151470,183
25151471,24.8298891,60.1884385,25151471,walk,25151471,184
25151475,24.8268577,60.1847102,25151475,walk,25151475,185
25151944,24.8323942,60.1915374,25151944,walk,25151944,186
25151949,24.8283487,60.1806285,25151949,walk,25151949,187
25151956,24.8346345,60.1797549,25151956,walk,25151956,188
25151959,24.8347755,60.1797816,25151959,walk,25151959,189
25151961,24.8342162,60.1811455,25151961,walk,25151961,190
25151965,24.8344422,60.1804579,25151965,walk,25151965,191
25151971,24.8350302,60.1799241,25151971,walk,25151971,192
25151978,24.8365112,60.1800491,25151978,walk,25151978,193
25151982,24.834526,60.1797353,25151982,walk,25151982,194
25152000,24.8298162,60.1791157,25152000,walk,25152000,195
25152005,24.8304435,60.1809011,25152005,walk,25152005,196
25152031,24.8348995,60.1816269,25152031,walk,25152031,197
25152036,24.8355556,60.1822845,25152036,walk,25152036,198
25152046,24.8374565,60.1833689,25152046,walk,25152046,199
25152051,24.8374644,60.1847272,25152051,walk,25152051,200
25152054,24.8379575,60.1862207,25152054,walk,25152054,201
25152057,24.8379705,60.1856789,25152057,walk,25152057,202
25152059,24.8382139,60.184825,25152059,walk,25152059,203
25152061,24.8373977,60.1848114,25152061,walk,25152061,204
25152064,24.8428795,60.1808225,25152064,walk,25152064,205
25152065,24.844541,60.181029,25152065,walk,25152065,206
25152069,24.8444149,60.1811557,25152069,walk,25152069,207
25152073,24.844309,60.1810241,25152073,walk,25152073,208
25152074,24.8443493,60.1809216,25152074,walk,25152074,209
25152083,24.8476223,60.1788015,25152083,walk,25152083,210
25152096,24.8512617,60.1754876,25152096,walk,25152096,211
25152098,24.8533446,60.1755915,25152098,walk,25152098,212
25156848,24.828331,60.1842208,25156848,walk,25156848,213
25156850,24.8290414,60.1840674,25156850,walk,25156850,214
25156892,24.8507456,60.180456,25156892,walk,25156892,215
25156894,24.849805,60.1804048,25156894,walk,25156894,216
25156896,24.8492649,60.1802497,25156896,walk,25156896,217
25156899,24.8486952,60.1794327,25156899,walk,25156899,218
25156903,24.8504257,60.1816581,25156903,walk,25156903,219
25156905,24.8507333,60.1816951,25156905,walk,25156905,220
25156907,24.8501257,60.1817088,25156907,walk,25156907,221
25156909,24.8507017,60.1817695,25156909,walk,25156909,222
25156911,24.8517257,60.1818617,25156911,walk,25156911,223
25156913,24.8503945,60.1818195,25156913,walk,25156913,224
25156915,24.8506696,60.1818413,25156915,walk,25156915,225
25156920,24.8528284,60.182094,25156920,walk,25156920,226
25156924,24.8547768,60.1827805,25156924,walk,25156924,227
25156938,24.8554147,60.1802399,25156938,walk,25156938,228
25156945,24.85415,60.1790298,25156945,walk,25156945,229
25156956,24.8531245,60.1778217,25156956,walk,25156956,230
25156966,24.8556144,60.1744169,25156966,walk,25156966,231
25156968,24.8568217,60.1741717,25156968,walk,25156968,232
25156970,24.8585394,60.1738489,25156970,walk,25156970,233
25157005,24.8612093,60.172315,25157005,walk,25157005,234
25157015,24.8513139,60.1792275,25157015,walk,25157015,235
25157018,24.8385447,60.1908918,25157018,walk,25157018,236
25157020,24.8388333,60.1888904,25157020,walk,25157020,237
25157022,24.8393983,60.1888526,25157022,walk,25157022,238
25157027,24.8375409,60.1888485,25157027,walk,25157027,239
25180576,24.8314,60.1742239,25180576,walk,25180576,240
25180589,24.8318436,60.1757475,25180589,walk,25180589,241
25180796,24.8315647,60.1755086,25180796,walk,25180796,242
25180901,24.8350502,60.178345,25180901,walk,25180901,243
25181021,24.8306628,60.1723077,25181021,walk,25181021,244
25181028,24.8493274,60.165084,25181028,walk,25181028,245
25181328,24.8311345,60.1766242,25181328,walk,25181328,246
25181433,24.8285175,60.1718636,25181433,walk,25181433,247
25181574,24.8351803,60.1775781,25181574,walk,25181574,248
25181710,24.8244678,60.1698826,25181710,walk,25181710,249
25196601,24.8298035,60.1691804,25196601,walk,25196601,250
25196688,24.8381004,60.1673183,25196688,walk,25196688,251
25196749,24.8350822,60.1768719,25196749,walk,25196749,252
25197324,24.8349281,60.1773796,25197324,walk,25197324,253
25197372,24.8257813,60.1699082,25197372,walk,25197372,254
25197437,24.8393899,60.1669781,25197437,walk,25197437,255
25197473,24.8250636,60.1698268,25197473,walk,25197473,256
25197672,24.8314535,60.1756491,25197672,walk,25197672,257
25197685,24.8390334,60.1665678,25197685,walk,25197685,258
25197866,24.8586688,60.1644135,25197866,walk,25197866,259
25197886,24.8425261,60.166548,25197886,walk,25197886,260
25197928,24.806169,60.1959645,25197928,walk,25197928,261
25197980,24.8312574,60.1739309,25197980,walk,25197980,262
25198039,24.8572649,60.1642638,25198039,walk,25198039,263
25198135,24.85159,60.1641321,25198135,walk,25198135,264
25198139,24.8505671,60.1637602,25198139,walk,25198139,265
25198170,24.8574162,60.1684217,25198170,walk,25198170,266
25198177,24.8574873,60.1688892,25198177,walk,25198177,267
25198186,24.859417,60.1670903,25198186,walk,25198186,268
25198190,24.859647,60.1665333,25198190,walk,25198190,269
25198232,24.8582945,60.1653795,25198232,walk,25198232,270
25198306,24.8598467,60.1626114,25198306,walk,25198306,271
25198343,24.8592459,60.162861,25198343,walk,25198343,272
25198349,24.8590608,60.1633399,25198349,walk,25198349,273
25198362,24.8592856,60.1627546,25198362,walk,25198362,274
25198372,24.859763,60.1617825,25198372,walk,25198372,275
25199431,24.8104097,60.1689516,25199431,walk,25199431,276
25199437,24.8153723,60.1691342,25199437,walk,25199437,277
25199441,24.8191245,60.169173,25199441,walk,25199441,278
25199443,24.8199203,60.169138,25199443,walk,25199443,279
25199452,24.825454,60.1685109,25199452,walk,25199452,280
25199454,24.826574,60.1684955,25199454,walk,25199454,281
25199460,24.8294848,60.1682587,25199460,walk,25199460,282
25199462,24.82947,60.1681712,25199462,walk,25199462,283
25199472,24.8345815,60.1675619,25199472,walk,25199472,284
25199479,24.8375748,60.1669617,25199479,walk,25199479,285
25199485,24.8233307,60.1698766,25199485,walk,25199485,286
25199499,24.8251547,60.168166,25199499,walk,25199499,287
25199500,24.8256859,60.1683219,25199500,walk,25199500,288
25199502,24.8192361,60.1700131,25199502,walk,25199502,289
25199504,24.8201315,60.1699991,25199504,walk,25199504,290
25199514,24.8115275,60.1703536,25199514,walk,25199514,291
25199516,24.8101603,60.1703547,25199516,walk,25199516,292
25199518,24.8096269,60.1703129,25199518,walk,25199518,293
25199520,24.8084366,60.1700833,25199520,walk,25199520,294
25199527,24.8054109,60.1698921,25199527,walk,25199527,295
25199529,24.8036125,60.1698132,25199529,walk,25199529,296
25199534,24.8025202,60.1696926,25199534,walk,25199534,297
25199536,24.8295972,60.1691291,25199536,walk,25199536,298
25199540,24.8320534,60.1687584,25199540,walk,25199540,299
25199546,24.8301819,60.1691045,25199546,walk,25199546,300
25199560,24.8240513,60.1828228,25199560,walk,25199560,301
25199566,24.8252976,60.1833693,25199566,walk,25199566,302
25199573,24.82262,60.1817522,25199573,walk,25199573,303
25199591,24.8263305,60.1845199,25199591,walk,25199591,304
25199597,24.8271986,60.1841413,25199597,walk,25199597,305
25199680,24.8304709,60.1838263,25199680,walk,25199680,306
25199698,24.8313207,60.1834001,25199698,walk,25199698,307
25199729,24.8316303,60.1833663,25199729,walk,25199729,308
25199734,24.8317462,60.1833378,25199734,walk,25199734,309
25199751,24.8287399,60.1840979,25199751,walk,25199751,310
25199757,24.833841,60.1817132,25199757,walk,25199757,311
25199769,24.834185,60.1812073,25199769,walk,25199769,312
25199775,24.8341469,60.1812889,25199775,walk,25199775,313
25199785,24.8257319,60.1811682,25199785,walk,25199785,314
25199804,24.8128226,60.1833334,25199804,walk,25199804,315
25199806,24.8139827,60.1823437,25199806,walk,25199806,316
25199808,24.8142444,60.1824198,25199808,walk,25199808,317
25199810,24.8152283,60.1828859,25199810,walk,25199810,318
25199824,24.8187294,60.1807442,25199824,walk,25199824,319
25199826,24.818961,60.1811495,25199826,walk,25199826,320
25199827,24.8193519,60.1810978,25199827,walk,25199827,321
25199829,24.8191504,60.1814421,25199829,walk,25199829,322
25199835,24.8193638,60.1813549,25199835,walk,25199835,323
25199886,24.8357571,60.1824736,25199886,walk,25199886,324
25199888,24.8357374,60.1826529,25199888,walk,25199888,325
25237982,24.8304571,60.1793219,25237982,walk,25237982,326
25238052,24.8281712,60.1790267,25238052,walk,25238052,327
25238195,24.828227,60.1789597,25238195,walk,25238195,328
25238219,24.829396,60.1791883,25238219,walk,25238219,329
25238259,24.8271896,60.178884,25238259,walk,25238259,330
25238360,24.8342002,60.1804298,25238360,walk,25238360,331
25238453,24.8343387,60.1804459,25238453,walk,25238453,332
25238484,24.8325987,60.179628,25238484,walk,25238484,333
25238485,24.8294229,60.1737512,25238485,walk,25238485,334
25238590,24.8255907,60.1791305,25238590,walk,25238590,335
25238664,24.8319451,60.1795203,25238664,walk,25238664,336
25268730,24.8562031,60.1851309,25268730,walk,25268730,337
25268731,24.8568265,60.1846769,25268731,walk,25268731,338
25279195,24.8148163,60.1701102,25279195,walk,25279195,339
25279197,24.8147926,60.1703846,25279197,walk,25279197,340
25279519,24.8550992,60.1828161,25279519,walk,25279519,341
25279525,24.8578325,60.1845332,25279525,walk,25279525,342
25279537,24.8570783,60.1844909,25279537,walk,25279537,343
25279539,24.8586695,60.1849183,25279539,walk,25279539,344
25531307,24.8300104,60.1888547,25531307,walk,25531307,345
25704487,24.7968996,60.1829768,25704487,walk,25704487,346
25704489,24.8009711,60.184308,25704489,walk,25704489,347
25704490,24.8030302,60.184574,25704490,walk,25704490,348
25704491,24.8052408,60.1846952,25704491,walk,25704491,349
25704492,24.8059727,60.1847139,25704492,walk,25704492,350
25704493,24.8072333,60.1849638,25704493,walk,25704493,351
25704494,24.8086601,60.1853689,25704494,walk,25704494,352
25983344,24.8350432,60.1791702,25983344,walk,25983344,353
26399852,24.7920734,60.1734841,26399852,walk,26399852,354
26399853,24.7983178,60.1744844,26399853,walk,26399853,355
26456003,24.7988055,60.1784394,26456003,walk,26456003,356
26456191,24.7973225,60.1803023,26456191,walk,26456191,357
26460048,24.7956453,60.1932627,26460048,walk,26460048,358
26460054,24.7997569,60.1868303,26460054,walk,26460054,359
26460055,24.7985695,60.1855415,26460055,walk,26460055,360
26460057,24.7899464,60.1878388,26460057,walk,26460057,361
26465183,24.8097265,60.1856982,26465183,walk,26465183,362
26479211,24.7994423,60.1962757,26479211,walk,26479211,363
26479215,24.7974619,60.1901984,26479215,walk,26479215,364
26479223,24.7993355,60.1860265,26479223,walk,26479223,365
26479227,24.8042136,60.1981288,26479227,walk,26479227,366
26479234,24.7961069,60.1924798,26479234,walk,26479234,367
26479255,24.8018757,60.179033,26479255,walk,26479255,368
26479257,24.8178427,60.1787451,26479257,walk,26479257,369
26479263,24.8108348,60.1785739,26479263,walk,26479263,370
26479268,24.8136447,60.1795419,26479268,walk,26479268,371
26479270,24.8066801,60.1825099,26479270,walk,26479270,372
26479272,24.7969191,60.1868886,26479272,walk,26479272,373
26479274,24.7974585,60.1878666,26479274,walk,26479274,374
26479275,24.795759,60.1920439,26479275,walk,26479275,375
26479277,24.7931946,60.1927793,26479277,walk,26479277,376
26479282,24.8032774,60.1994635,26479282,walk,26479282,377
26488401,24.793892,60.1957076,26488401,walk,26488401,378
26488435,24.7959037,60.1963461,26488435,walk,26488435,379
26488581,24.7920285,60.1944463,26488581,walk,26488581,380
26880778,24.7930168,60.1874424,26880778,walk,26880778,381
26880779,24.7971052,60.1872509,26880779,walk,26880779,382
26880780,24.800377,60.1867589,26880780,walk,26880780,383
26880782,24.8031092,60.1862753,26880782,walk,26880782,384
26880783,24.8028914,60.1854726,26880783,walk,26880783,385
26880784,24.8049695,60.1855628,26880784,walk,26880784,386
26880785,24.8073683,60.1861666,26880785,walk,26880785,387
26881079,24.7959398,60.1917151,26881079,walk,26881079,388
26881083,24.8035701,60.189194,26881083,walk,26881083,389
26904966,24.7899444,60.1904729,26904966,walk,26904966,390
26904968,24.7911012,60.1891185,26904968,walk,26904968,391
26904975,24.7919935,60.1862707,26904975,walk,26904975,392
26904977,24.7967183,60.1858323,26904977,walk,26904977,393
26904978,24.7980292,60.1846931,26904978,walk,26904978,394
26904979,24.7981616,60.1841987,26904979,walk,26904979,395
26904980,24.7975078,60.1835096,26904980,walk,26904980,396
26904981,24.7985795,60.1827849,26904981,walk,26904981,397
26904983,24.799759,60.1814701,26904983,walk,26904983,398
26904984,24.8004164,60.1817971,26904984,walk,26904984,399
26904985,24.8099929,60.1827976,26904985,walk,26904985,400
26904988,24.8117392,60.183577,26904988,walk,26904988,401
26904990,24.8126273,60.1832769,26904990,walk,26904990,402
26904991,24.8138799,60.1823031,26904991,walk,26904991,403
26904992,24.8149868,60.1817867,26904992,walk,26904992,404
26904993,24.8162806,60.1816049,26904993,walk,26904993,405
26904996,24.8183578,60.1807273,26904996,walk,26904996,406
26904997,24.8186617,60.1805485,26904997,walk,26904997,407
26904999,24.8200269,60.1790405,26904999,walk,26904999,408
26905000,24.8052989,60.1892379,26905000,walk,26905000,409
26970382,24.8045112,60.1987855,26970382,walk,26970382,410
26970384,24.8044812,60.1963455,26970384,walk,26970384,411
27028969,24.8206658,60.1782296,27028969,walk,27028969,412
27030730,24.8180397,60.1794585,27030730,walk,27030730,413
27030756,24.8149521,60.1811035,27030756,walk,27030756,414
27030763,24.8154156,60.1817001,27030763,walk,27030763,415
27030769,24.8106296,60.1787152,27030769,walk,27030769,416
27030798,24.8115103,60.1813236,27030798,walk,27030798,417
27031736,24.8040226,60.1822359,27031736,walk,27031736,418
27031737,24.7980562,60.1806267,27031737,walk,27031737,419
27031739,24.7968843,60.1819874,27031739,walk,27031739,420
27031740,24.797819,60.1822532,27031740,walk,27031740,421
27032724,24.7922217,60.1828039,27032724,walk,27032724,422
27032735,24.7956595,60.1847314,27032735,walk,27032735,423
